Energy (eV),n 10°,Dichroism 10°,Birefringence 10°,n 80°,Dichroism 80°,Birefringence 80°
251.8,"(np.complex128(0.002068749002011345+0.0002740160446888021j), np.complex128(0.0020001922592872137+0.0002740160446888021j))",0.0,6.855674272413133e-05,"(np.complex128(0.0020001922592872137+0.00027401604468880217j), np.complex128(0.002068749002011345+0.0002740160446888021j))",5.421010862427522e-20,-6.855674272413133e-05
251.9,"(np.complex128(0.0020655391110612257+0.00027366000672348413j), np.complex128(0.0019966783862877145+0.00027366000672348413j))",0.0,6.886072477351119e-05,"(np.complex128(0.0019966783862877145+0.0002736600067234842j), np.complex128(0.0020655391110612257+0.00027366000672348413j))",5.421010862427522e-20,-6.886072477351119e-05
252.0,"(np.complex128(0.002062329220111106+0.00027330396875816616j), np.complex128(0.0019931645132882153+0.00027330396875816616j))",0.0,6.916470682289061e-05,"(np.complex128(0.0019931645132882153+0.0002733039687581662j), np.complex128(0.002062329220111106+0.00027330396875816616j))",5.421010862427522e-20,-6.916470682289061e-05
252.1,"(np.complex128(0.0020591193291609865+0.0002729479307928482j), np.complex128(0.0019896506402887156+0.0002729479307928482j))",0.0,6.94686888722709e-05,"(np.complex128(0.0019896506402887156+0.00027294793079284823j), np.complex128(0.0020591193291609865+0.0002729479307928482j))",5.421010862427522e-20,-6.94686888722709e-05
252.2,"(np.complex128(0.002055909438210867+0.0002725918928275302j), np.complex128(0.0019861367672892164+0.0002725918928275302j))",0.0,6.977267092165076e-05,"(np.complex128(0.0019861367672892164+0.00027259189282753026j), np.complex128(0.002055909438210867+0.0002725918928275302j))",5.421010862427522e-20,-6.977267092165076e-05
252.3,"(np.complex128(0.0020526995472607474+0.0002722358548622122j), np.complex128(0.0019826228942897172+0.0002722358548622122j))",0.0,7.007665297103019e-05,"(np.complex128(0.0019826228942897172+0.0002722358548622123j), np.complex128(0.0020526995472607474+0.0002722358548622122j))",5.421010862427522e-20,-7.007665297103019e-05
252.4,"(np.complex128(0.002049489656310628+0.0002718798168968943j), np.complex128(0.0019791090212902176+0.00027187981689689425j))",5.421010862427522e-20,7.038063502041048e-05,"(np.complex128(0.0019791090212902176+0.0002718798168968943j), np.complex128(0.002049489656310628+0.0002718798168968943j))",0.0,-7.038063502041048e-05
252.5,"(np.complex128(0.0020462797653605083+0.0002715237789315763j), np.complex128(0.0019755951482907184+0.00027152377893157627j))",5.421010862427522e-20,7.068461706978991e-05,"(np.complex128(0.0019755951482907184+0.0002715237789315763j), np.complex128(0.0020462797653605083+0.0002715237789315763j))",0.0,-7.068461706978991e-05
252.6,"(np.complex128(0.002043069874410389+0.00027116774096625835j), np.complex128(0.001972081275291219+0.0002711677409662583j))",5.421010862427522e-20,7.098859911916977e-05,"(np.complex128(0.001972081275291219+0.00027116774096625835j), np.complex128(0.002043069874410389+0.00027116774096625835j))",0.0,-7.098859911916977e-05
252.7,"(np.complex128(0.002039859983460269+0.00027081170300094037j), np.complex128(0.00196856740229172+0.0002708117030009403j))",5.421010862427522e-20,7.129258116854919e-05,"(np.complex128(0.00196856740229172+0.00027081170300094037j), np.complex128(0.002039859983460269+0.00027081170300094037j))",0.0,-7.129258116854919e-05
252.8,"(np.complex128(0.00203665009251015+0.0002704556650356224j), np.complex128(0.0019650535292922203+0.00027045566503562234j))",5.421010862427522e-20,7.159656321792949e-05,"(np.complex128(0.0019650535292922203+0.0002704556650356224j), np.complex128(0.00203665009251015+0.0002704556650356224j))",0.0,-7.159656321792949e-05
252.9,"(np.complex128(0.0020334402015600305+0.0002700996270703044j), np.complex128(0.001961539656292721+0.00027009962707030436j))",5.421010862427522e-20,7.190054526730934e-05,"(np.complex128(0.001961539656292721+0.0002700996270703044j), np.complex128(0.0020334402015600305+0.0002700996270703044j))",0.0,-7.190054526730934e-05
