eV_,xxTotalf0,zzTotalf0
283.48174087,8.1003257e-09,0.0043231435
283.50175088,9.2745722e-09,0.0048992797
283.52176088,1.0551886e-08,0.0055106725
283.54177089,1.1930642e-08,0.0061522094
283.56178089,1.3407456e-08,0.0068175034
283.5817909,1.4977074e-08,0.0074989372
283.6018009,1.6632386e-08,0.0081877606
283.62181091,1.8364243e-08,0.0088742469
283.64182091,2.0161549e-08,0.009547893
283.66183092,2.201123e-08,0.010197665
283.68184092,2.389832e-08,0.010812293
283.70185093,2.5806028e-08,0.011380595
283.72186093,2.7715894e-08,0.011891829
283.74187094,2.9607961e-08,0.012336043
283.76188094,3.1460999e-08,0.012704442
283.78189095,3.3252938e-08,0.01298973
283.80190095,3.4961097e-08,0.013186419
283.82191096,3.6562732e-08,0.013291113
283.84192096,3.803558e-08,0.01330272
283.86193097,3.9358426e-08,0.013222621
283.88194097,4.0511825e-08,0.013054752
283.90195098,4.1478842e-08,0.012805635
283.92196098,4.224572e-08,0.01248432
283.94197099,4.2802718e-08,0.012102254
283.96198099,4.3144784e-08,0.011673102
283.981991,4.3272163e-08,0.011212478
284.002001,4.3190937e-08,0.010737655
284.02201101,4.2913282e-08,0.010267192
284.04202101,4.2457749e-08,0.0098205591
284.06203102,4.1849006e-08,0.0094177192
284.08204102,4.1117591e-08,0.0090786805
284.10205103,4.0299231e-08,0.0088230418
284.12206103,3.9433932e-08,0.0086695356
284.14207104,3.8564842e-08,0.0086355414
284.16208104,3.7736896e-08,0.00873663
284.18209105,3.6995203e-08,0.0089860866
284.20210105,3.6383401e-08,0.0093944687
284.22211106,3.5941913e-08,0.0099691637
284.24212106,3.5706275e-08,0.010714007
284.26213107,3.570549e-08,0.011628929
284.28214107,3.5960646e-08,0.012709685
284.30215108,3.6483755e-08,0.013947655
284.32216108,3.7276919e-08,0.015329785
284.34217109,3.8331869e-08,0.016838608
284.36218109,3.9629985e-08,0.018452454
284.3821911,4.1142595e-08,0.020145772
284.4022011,4.2831882e-08,0.021889659
284.42221111,4.4652094e-08,0.023652514
284.44222111,4.6551058e-08,0.025400851
284.46223112,4.8472206e-08,0.027100233
284.48224112,5.0356551e-08,0.028716331
