Energy,Intensity,Angle,Normalized Intensity
291.40002,54919.227,20,0.0016332972929692202
291.50046,56699.199,20,0.0016851179080472184
291.60095,58388.734,20,0.0017343056159975715
291.70013,59919.633,20,0.0017788749282127594
291.80026,61284.918,20,0.0018186226930409504
291.90045,62461.828,20,0.001852886265777739
292.00006,63458.562,20,0.0018819043452470527
292.10004,64317.832,20,0.0019069204128695052
292.20038,65086.789,20,0.0019293071833965314
292.2998,65802.805,20,0.0019501526739580054
292.39737,66480.086,20,0.0019698704661483555
292.50034,67115.797,20,0.001988378024150307
292.60062,67658.445,20,0.0020041762238584182
292.70013,68095.188,20,0.0020168911940326734
292.79965,68440.781,20,0.0020269524993940225
292.90036,68734.711,20,0.002035509731412209
292.99969,69009.43,20,0.0020435076704548526
293.10001,69295.844,20,0.0020518460879394816
293.19943,69595.844,20,0.002060580036857442
293.29971,69909.828,20,0.002069721104247631
293.39993,70223.07,20,0.0020788405696708302
293.50021,70521.867,20,0.0020875394954536293
293.59995,70790.422,20,0.0020953579809591723
293.70007,71019.109,20,0.002102015782879844
293.80042,71196.945,20,0.0021071931513457587
293.89975,71315.062,20,0.002110631910826901
293.99985,71372.422,20,0.002112301841860015
294.10028,71367.039,20,0.002112145125703264
294.20013,71301.297,20,0.002110231168137382
294.30048,71179.633,20,0.002106689144266866
294.39993,71010.195,20,0.0021017562681443286
294.49976,70799.211,20,0.002095613856549305
294.5997,70554.945,20,0.002088502500661324
294.69986,70285.055,20,0.002080645149083096
294.79984,69997.875,20,0.0020722844309155634
294.89969,69699.664,20,0.0020636025654463173
295.00009,69393.625,20,0.0020546928021366387
295.10019,69085.883,20,0.002045733459110269
295.20001,68778.773,20,0.002036792515602953
295.30029,68471.469,20,0.0020278459241420033
295.40012,68166.773,20,0.002018975259810314
295.50082,67860.516,20,0.0020100591498310883
295.59973,67559.359,20,0.002001291516983468
295.70047,67252.234,20,0.001992350136778706
295.80038,66945.797,20,0.0019834287864301295
295.90036,66637.188,20,0.001974444202291387
296.00003,66327.617,20,0.0019654316112897806
296.10062,66014.422,20,0.001956313514185246
296.2001,65704.859,20,0.0019473011560889437
296.30011,65396.453,20,0.0019383224819223023
296.40039,65092.668,20,0.0019294783396821603
296.5004,64798.234,20,0.0019209064346297914
296.60098,64514.422,20,0.0019126437695954443
296.70016,64249.742,20,0.0019049380975967587
296.79971,64003.18,20,0.0018977598978863917
296.90042,63776.719,20,0.001891166901866691
296.99847,63580.328,20,0.0018854493386602008
297.09918,63407.094,20,0.0018804059489706875
297.20001,63263.719,20,0.001876231849216979
297.2999,63152.168,20,0.0018729842467644878
297.3999,63071.492,20,0.00187063551322147
297.50034,63021.348,20,0.001869175662772996
297.60071,63000.859,20,0.0018685791631750622
297.69623,63005.992,20,0.0018687286010410486
297.80008,63039.828,20,0.0018697136740263424
297.89944,63093.66,20,0.0018712808938201812
297.99936,63166.832,20,0.0018734111621875977
298.10004,63256.309,20,0.0018760161206787056
298.19833,63354.5,20,0.001878874771272717
298.30032,63465.336,20,0.0018821015578136206
298.40012,63577.355,20,0.0018853627852264238
298.50043,63690.531,20,0.0018886576965688874
298.60089,63800.938,20,0.001891871993562838
298.70123,63905.062,20,0.0018949033725532837
298.80133,63999.996,20,0.001897667201575209
298.89905,64081.246,20,0.0019000326460738232
298.99979,64152.582,20,0.001902109462673862
299.10022,64208.746,20,0.0019037445743639563
299.20068,64248.945,20,0.0019049148944058
299.30045,64272.195,20,0.001905591775446942
299.39975,64278.613,20,0.00190577862372746
299.50031,64268.633,20,0.0019054880743601228
299.60004,64242.27,20,0.0019047205640423752
299.702,64199.887,20,0.001903486660852409
299.79922,64144.273,20,0.0019018675614019976
299.90167,64073.375,20,0.001899803496367379
