energy,n_xx,n_zz,n_ixx,n_izz
270.78,0.00126509401655488,0.001137094742061398,0.00018564473473105662,0.000188399406072725
270.8,0.0012641470507378772,0.0011364811240238022,0.0001850181626098734,0.00018906913523100943
270.82,0.0012629693142277459,0.0011362813400759915,0.00018450861058632984,0.00018960263878789157
270.84,0.0012617638138443768,0.0011361123747142998,0.00018439821686685667,0.0001893479755839622
270.86,0.0012606947051757784,0.0011356088213498648,0.00018435404526902363,0.00018897476918755738
270.88,0.0012596845455884608,0.0011348944404783118,0.00018435727113178115,0.00018853752176585555
270.9,0.001258757565063741,0.0011339214423957274,0.0001844341346465676,0.0001880637261008229
270.92,0.0012579748826243124,0.0011326459850871274,0.00018450373713946398,0.0001877820557870507
270.94,0.0012571858775617527,0.0011314770798847174,0.0001843357913120814,0.00018812218292796017
270.96,0.0012562389259104005,0.001130750812044056,0.0001841686465331431,0.00018848769497216406
270.98,0.0012551638898943575,0.001130381070633507,0.00018409019171862807,0.00018865497497348502
271.0,0.0012541123007290423,0.0011300179549582458,0.00018426112479556154,0.0001882486177066397
271.02,0.0012531834126333896,0.001129411224863385,0.00018446191481650282,0.00018772457317813203
271.04,0.0012523308983971044,0.001128629920257845,0.00018468438489748062,0.0001871189542916309
271.06,0.0012515543198885388,0.001127670654895765,0.00018491353413186543,0.00018648876453892808
271.08,0.0012508515794281455,0.001126546973976086,0.0001851237487472136,0.00018589369462721725
271.1,0.0012502074418463442,0.001125292386451434,0.00018528826391453227,0.00018538027597178787
271.12,0.0012495947567730955,0.0011239502936907003,0.00018539160724633682,0.00018497277156813576
271.14,0.0012489852839036178,0.0011225620801951892,0.0001854362866162469,0.0001846749272201626
271.16,0.0012483578504823122,0.0011211571928960438,0.00018543449529852138,0.0001844755201870856
271.18,0.0012476974339478216,0.0011197503514938575,0.00018540288246699706,0.00018436427480542168
271.2,0.0012470005944641104,0.0011183586878691408,0.00018536809223473481,0.00018434792637798467
271.22,0.001246281928641622,0.0011170190788638056,0.00018535116187927848,0.00018442844535107616
271.24,0.0012455557163586933,0.0011157688642378873,0.0001853470592697073,0.00018457005696558424
271.26,0.0012448205640776893,0.0011146184714678998,0.00018535090437740535,0.00018471947946344062
271.28,0.0012440739427445773,0.0011135513559624968,0.0001853751921974601,0.00018483029505049527
271.3,0.0012433272082306075,0.0011125322836909978,0.00018543730029862355,0.00018486938112232187
271.32,0.0012426055429786934,0.0011115132559627117,0.00018554584670800318,0.00018482336938663942
271.34,0.001241946294507119,0.0011104283974058512,0.0001856943736949344,0.0001847008262865822
271.36,0.0012413756816728075,0.0011092426848690543,0.00018583185704128743,0.00018460100509759198
271.38,0.001240827399333549,0.0011081300316334102,0.00018587451088440866,0.0001846713433822882
271.4,0.001240332932444894,0.0011070130634908673,0.00018598039438239594,0.00018447449620911252
271.42,0.0012399482526706193,0.0011056715681139855,0.00018595864895012344,0.00018434791224999371
271.44,0.0012394749811866575,0.0011044327707051891,0.00018570155256333895,0.0001845917889453561
271.46,0.0012388929476200045,0.0011033336787955009,0.00018554459196153074,0.00018457804070583358
271.48,0.001238323795562486,0.0011021542796382062,0.00018537704437493021,0.0001845681798862206
271.5,0.0012377631815878695,0.0011009192420795035,0.000185187342212066,0.00018455673591778057
271.52,0.0012371917080748656,0.0010996397541838479,0.00018493177902540763,0.00018461552993810984
271.54,0.0012365810273635522,0.0010983395250023268,0.00018462979106831243,0.00018472973704370405
271.56,0.0012359110594962629,0.0010970444063537674,0.00018427682229499298,0.00018494532038285417
271.58,0.0012351588141648615,0.0010957894323821414,0.00018390257369396115,0.00018523380381491194
271.6,0.001234336090016083,0.0010945624319218428,0.000183547926681857,0.00018558645678388568
271.62,0.0012334649746307464,0.0010934001531243424,0.00018320095426725317,0.00018609332379126796
