energy,Intensity
288.80042,0.0001506063425176608
288.90027,0.00015044143675051446
288.99988,0.00015027710332013919
289.10016,0.00015011282279343415
289.19803,0.00014995018883901678
289.29666,0.00014978761394474974
289.401,0.00014962247693018916
289.50201,0.0001494593462664719
289.60019,0.0001492982527554524
289.70068,0.00014914426670296728
289.80136,0.0001490657430895769
289.90063,0.00014941989793483667
289.99234,0.0001515123239748595
290.10071,0.00015877388609021376
290.19617,0.00017790093322464718
290.30011,0.00021815769424618158
290.39932,0.0002876641504326738
290.49994,0.00038768168069795153
290.60037,0.0005092066629725817
290.70062,0.0006354752360397656
290.80032,0.000749388889986111
290.89877,0.000840542184944712
291.0025,0.0009073018894205649
291.09274,0.0009541573542407318
291.19958,0.0009872565711758167
291.29654,0.0010119211686844055
291.39957,0.001031495705009431
