Energy,Difference
273.1399999999973,-3.7477202362954144e-06
273.1599999999973,-3.6080375906041194e-06
273.1799999999973,-3.4483294347853236e-06
273.19999999999726,-3.3707853457510214e-06
273.21999999999724,-3.1909643051444285e-06
273.2399999999972,-2.991405385702988e-06
273.2599999999972,-2.892045172361921e-06
273.2799999999972,-2.8026051205596313e-06
273.29999999999717,-2.772105053819173e-06
273.31999999999715,-2.7987537476829815e-06
273.33999999999713,-2.7924132882616375e-06
273.3599999999971,-2.7988439453476865e-06
273.3799999999971,-2.854248944399129e-06
273.3999999999971,-2.923680664656457e-06
273.41999999999706,-3.0014253872698465e-06
273.43999999999704,-3.0802649378368086e-06
273.459999999997,-3.1504649471334913e-06
273.479999999997,-3.145634011886362e-06
273.499999999997,-3.0225733208569007e-06
273.51999999999697,-2.845316745479996e-06
273.53999999999695,-2.729101966981992e-06
273.55999999999693,-2.691410554055484e-06
273.5799999999969,-2.638937113445654e-06
273.5999999999969,-2.574041585499403e-06
273.6199999999969,-2.499084452645177e-06
273.63999999999686,-2.2161326241449905e-06
273.65999999999684,-1.9586900728741024e-06
273.6799999999968,-1.7837107741434172e-06
273.6999999999968,-1.7180663604531477e-06
273.7199999999968,-1.7730457030882279e-06
273.73999999999677,-1.940483976498147e-06
273.75999999999675,-2.26115045920607e-06
273.77999999999673,-2.4368527837457315e-06
273.7999999999967,-2.42218746180674e-06
273.8199999999967,-2.3212993345443945e-06
273.8399999999967,-2.204446381240565e-06
273.85999999999666,-2.2229769196162067e-06
273.87999999999664,-2.200236722321974e-06
273.8999999999966,-2.179764043997909e-06
273.9199999999966,-2.147596411576213e-06
273.9399999999966,-2.0897207922744816e-06
273.95999999999657,-1.988733682844525e-06
273.97999999999655,-1.8561856205040996e-06
273.99999999999653,-1.6235061842777508e-06
274.0199999999965,-1.380429049691302e-06
274.0399999999965,-1.1814668344448731e-06
274.0599999999965,-1.104521339808583e-06
274.07999999999646,-8.915768115380002e-07
274.09999999999644,-7.280165405993865e-07
274.1199999999964,-6.798717459565924e-07
274.1399999999964,-6.835726019505362e-07
274.1599999999964,-7.244284378203958e-07
274.17999999999637,-7.902267819582718e-07
274.19999999999635,-8.708780865185178e-07
274.21999999999633,-8.154540448102217e-07
274.2399999999963,-7.384650419970004e-07
274.2599999999963,-6.494680609396736e-07
274.2799999999963,-1.0322411734479203e-06
274.29999999999626,-1.0587180984527263e-06
274.31999999999624,-8.984775615667812e-07
274.3399999999962,-7.391620557308342e-07
274.3599999999962,-5.92756199143983e-07
274.3799999999962,-4.7312204975158823e-07
274.39999999999617,-3.9218498663771945e-07
274.41999999999615,-3.55268823112808e-07
274.43999999999613,-3.591322618876036e-07
274.4599999999961,-3.9434905014984e-07
274.4799999999961,-4.500536278654754e-07
274.4999999999961,-3.8390287833344013e-07
274.51999999999606,-3.4142559636596516e-07
274.53999999999604,-3.415409396741588e-07
274.559999999996,-3.7657829384802266e-07
274.579999999996,-4.370912850101576e-07
274.599999999996,-5.146443802104065e-07
274.61999999999597,-6.016250383313107e-07
274.63999999999595,-6.350590737861539e-07
274.65999999999593,-5.383533856411931e-07
274.6799999999959,-5.457576012117294e-07
274.6999999999959,-5.703579002434835e-07
274.7199999999959,-5.620435557537394e-07
274.73999999999586,-5.231521649048895e-07
274.75999999999584,-4.6093350804914263e-07
274.7799999999958,-3.8391702166262303e-07
274.7999999999958,-2.993171477730104e-07
274.8199999999958,-2.128143335697206e-07
274.83999999999577,-2.1629248919599388e-07
274.85999999999575,-3.7718379886239575e-07
274.87999999999573,-5.420925610318065e-07
274.8999999999957,-4.568468512453251e-07
274.9199999999957,-5.817150735456415e-07
274.9399999999957,-7.041651922329702e-07
274.95999999999566,-8.138083447858548e-07
