energy,delta
300.092,0.0013932009788519477
304.945,0.0013557580279091985
309.878,0.001318813422203134
314.89,0.0012824696713161585
319.983,0.0012467760678250342
325.158,0.0012117721456196817
330.418,0.001177475711304353
335.762,0.001143922724211191
341.192,0.0011111214435921362
346.711,0.0010790746608969378
352.319,0.0010478027303105395
358.017,0.0010173223470710626
363.808,0.0009876573357197394
369.692,0.0009589786414181161
375.672,0.0009310243759435376
381.748,0.0009034520145156183
387.922,0.000876367415507871
394.197,0.0008498588305092174
400.573,0.0008239607083587317
407.052,0.00079868166268066
413.635,0.0007740268905345788
420.326,0.000749987065804075
427.124,0.0007265680305887282
434.032,0.0007037585762498282
441.052,0.0006815507518413073
448.186,0.0006599366282307028
455.435,0.0006389105836227095
462.802,0.0006184617024108437
470.287,0.000598589091296297
477.894,0.0005792848690596191
485.623,0.0005605610653600273
493.478,0.0005424715101083181
501.459,0.0005250490527463945
509.57,0.0005079588784665385
517.812,0.0004910406836341054
526.187,0.0004744538879008807
534.698,0.00045822882284146947
543.346,0.00044237741372384743
552.134,0.00042689867217830015
561.065,0.0004117867954492336
570.139,0.00039703689600615086
579.361,0.0003826325904101033
588.732,0.00036855948970978956
598.254,0.0003547925400923864
607.93,0.00034124937971061545
617.763,0.0003280208411109659
627.755,0.00031522803978089985
637.908,0.00030280104504682055
648.226,0.0002906803601722554
658.711,0.0002788324576825105
669.365,0.0002672283602210501
680.191,0.0002558399464405225
691.193,0.0002446404091499869
702.372,0.00023361524044687878
713.733,0.00022283315501546547
725.277,0.00021216830075210689
731.1425,0.0002067077143222198
737.008,0.00020105385508277233
742.9680000000001,0.00019517305559500666
748.928,0.00018903693700711232
761.042,0.00017674605887430236
767.1965,0.00017060324753697951
773.351,0.00016432225305888405
779.605,0.00015779203115979672
785.859,0.00015106709318821524
792.2145,0.0001439628864161449
798.57,0.00013649667616242564
805.028,0.00012839088726364147
808.2570000000001,0.00012408076064455702
811.486,0.00011955248938977406
814.76725,0.00011468252000343758
818.0485,0.00010948263433221018
821.32975,0.0001038710172566374
824.611,9.773594483937155e-05
826.2782500000001,9.437024627625183e-05
827.9455,9.080350744408228e-05
829.61275,8.700142501841249e-05
831.28,8.292111497456042e-05
832.9472499999999,7.850741390937803e-05
834.6144999999999,7.368758742385516e-05
