Beamline Energy,20 deg,40 deg,55 deg,70 deg,90 deg
285.4047218,0.241895152,0.162360814,0.134184638,0.09882107,0.043345559
285.4982785,0.180025935,0.116264737,0.073852916,0.05499034,-0.011663861
285.6017546,0.133541762,0.074209666,0.048383829,0.017823996,-0.039373811
285.7028393,0.105675483,0.052692594,0.018024968,0.002257063,-0.050438497
285.7990595,0.092601904,0.042205442,0.015844609,-0.026512809,-0.0873278
285.8953446,0.09108885,0.041744196,-0.000493632,-0.004336266,-0.058168203
286.0015802,0.096822093,0.053552505,0.025865944,-0.012960074,-0.050032144
286.100475,0.113270414,0.055796367,0.044145578,0.025028718,-0.04003674
286.2019131,0.133203747,0.095964185,0.0678714,0.042570993,0.005413055
286.3009464,0.167179062,0.120172217,0.109757464,0.08948047,0.027766893
286.39757,0.216378215,0.177430109,0.145877535,0.147782239,0.086555096
286.4992189,0.285096176,0.25420682,0.232510083,0.206063994,0.205472353
286.5984581,0.365662566,0.338154732,0.29927379,0.305616259,0.281528986
286.7002497,0.419214783,0.39159976,0.373330485,0.365172832,0.352297885
286.7996283,0.471474725,0.444075598,0.428580365,0.411624458,0.415782478
286.8990758,0.524527976,0.500982044,0.47839106,0.481486909,0.480977396
286.9985922,0.59189596,0.574697927,0.558885451,0.543681776,0.570493557
287.1006683,0.668476342,0.658403188,0.652286983,0.649803056,0.652995495
287.2003247,0.765600088,0.759541443,0.751942587,0.759040997,0.79504837
287.3000502,0.87207062,0.868546795,0.883009065,0.866814727,0.931502006
287.3998451,0.978699847,0.994404873,1.003402028,1.01142641,1.088915057
287.5047043,1.089103001,1.115744188,1.126208794,1.147857084,1.221328181
287.5971437,1.226842297,1.264516443,1.284338898,1.307576185,1.401636423
287.6996461,1.382082425,1.429814872,1.451364874,1.470835773,1.617098446
287.8022214,1.562552067,1.640985355,1.680327857,1.708604019,1.857714371
287.9023655,1.815299587,1.924197724,1.96560291,2.025034149,2.215832041
288.0075918,2.190790111,2.326710133,2.401626462,2.477378481,2.69026045
288.097847,2.775844241,3.004760701,3.102823736,3.211353097,3.552097342
288.1956873,3.241190276,3.580081637,3.728124013,3.869009472,4.315577133
288.2935941,3.542573137,3.9421324,4.127706439,4.283215284,4.750868337
288.3965935,3.577249431,3.964339631,4.160158994,4.333288843,4.739698928
288.5046963,3.492865567,3.865561692,4.048826789,4.171677962,4.600334438
288.6002965,3.33392032,3.699140151,3.845924669,3.962848795,4.393852467
288.7009968,3.168917824,3.499565057,3.641788787,3.757073968,4.128819342
288.8017674,3.009581599,3.305199911,3.438395194,3.532014265,3.885506919
288.9026083,2.899321277,3.170339,3.290241266,3.398159735,3.695515824
289.0009961,2.801304267,3.053428146,3.186936938,3.254898549,3.559848587
289.1070271,2.728423499,2.969127839,3.085128553,3.176236758,3.44399647
289.1979727,2.683518913,2.93429628,3.024805697,3.129220361,3.40414116
289.3041483,2.679596844,2.89646863,3.018924058,3.114897214,3.339573055
289.395218,2.696240284,2.915980041,3.025392435,3.106028465,3.374282017
289.4990061,2.731397568,2.942354894,3.062811323,3.163839511,3.415492789
289.6028687,2.731001726,2.972272298,3.074809562,3.130214211,3.373336661
289.701734,2.780447955,3.005298459,3.105475396,3.199816755,3.451023367
289.8032045,2.792986524,2.994235081,3.113349434,3.204375294,3.435794966
289.9022066,2.793794019,2.998957642,3.106887345,3.182320839,3.419303787
290.0038176,2.788756549,2.996836252,3.114541319,3.185296324,3.423965313
