Beamline Energy,20 deg,40 deg,55 deg,70 deg,90 deg
289.701734,4.328053723,4.399254369,4.495183255,4.387188676,3.709643396
289.8032045,4.380603443,4.439839985,4.54603766,4.339414532,3.67465166
289.9022066,4.385996136,4.423215544,4.536180469,4.401247565,3.71857647
290.0038176,4.357368124,4.400546325,4.539466199,4.352251155,3.661144645
290.1029569,4.368478479,4.403184663,4.521126427,4.380560672,3.628573252
290.2021639,4.367855224,4.403088773,4.49733649,4.267044903,3.631889284
290.2988925,4.333952015,4.373425196,4.489063435,4.3190965,3.62301051
290.4007818,4.364133993,4.376271513,4.50470504,4.314836837,3.59495229
290.5001927,4.360669494,4.418773878,4.460744469,4.334033413,3.504609198
290.59712,4.391574687,4.370784037,4.519439815,4.330768483,3.587783206
290.6941121,4.426025476,4.463168903,4.538997773,4.361960575,3.617455163
290.793724,4.45152817,4.411501447,4.561159099,4.343829992,3.597209865
290.9010746,4.511045545,4.544824811,4.608089882,4.457084606,3.668693533
291.0033871,4.560384345,4.600419183,4.57425699,4.388749289,3.614585377
291.103211,4.687997467,4.686440906,4.786282551,4.588419702,3.817366395
291.195417,4.797785182,4.823893382,4.92505389,4.758603363,3.893686555
291.2953727,4.979940612,4.956932762,5.05399114,4.903601057,4.059412388
291.4005284,5.139625194,5.192106691,5.331295452,5.00730275,4.085035829
291.50576,5.365797656,5.336584662,5.466499211,5.376964764,4.461042587
291.5930829,5.61322968,5.6836206,5.878912163,5.645416286,4.662735564
291.6931144,5.95379198,6.039334324,6.199453622,6.020262221,5.014778821
291.7955161,6.311719588,6.441305098,6.538351823,6.484329559,5.386073937
291.9031156,6.617222206,6.718352293,7.028924118,6.851672376,5.532496605
291.9979718,6.939043788,7.132837248,7.380866479,7.197759912,5.9080822
292.0980223,7.263003133,7.374082149,7.676442054,7.568087525,6.279119315
292.2058461,7.434446599,7.665789461,7.997232383,7.685080807,6.417612134
292.3034699,7.694239071,7.927747272,8.190629975,8.076087624,6.627784733
292.3985876,7.811601726,7.981182589,8.390868187,8.201823624,6.751218836
292.5014875,7.827437257,8.052734404,8.321930432,8.187185185,6.691242589
292.5967347,7.762834138,8.018119423,8.319804491,8.113137618,6.721343153
292.7075057,7.708618403,7.807729896,8.192658734,7.980010383,6.574317509
292.8054666,7.507242458,7.67693193,7.823898841,7.804897207,6.422568417
292.9009128,7.343206622,7.423779148,7.703690585,7.520993962,6.200947613
293.0015859,7.130518553,7.305649955,7.476706992,7.183463481,5.900877866
293.0945767,6.861435143,6.879361094,7.134523766,6.922524979,5.724820323
293.2031409,6.535172652,6.625341015,6.72681548,6.560822398,5.411551925
293.3014353,6.300514704,6.326782948,6.460839955,6.284284255,5.123899791
293.4049747,6.030450577,6.101834604,6.172241342,6.004132435,4.963157112
293.4982229,5.913206854,5.917748899,6.005628072,5.675894064,4.774081009
293.5941234,5.802792047,5.763796754,5.901375213,5.709620552,4.714720643
293.700465,5.765405934,5.748835434,5.742201855,5.527460028,4.639373813
293.7990947,5.832726092,5.739838576,5.855977378,5.688743078,4.570522714
293.9003891,5.814889372,5.808230258,5.771954375,5.683325414,4.701871255
293.9991537,6.586643358,6.55298641,6.710995503,6.516135788,5.383374933
294.4887613,7.553022135,7.648614905,7.73867775,7.503136517,6.226611244
295.0009502,7.916524258,7.918593833,7.999729309,7.757354127,6.364183992
295.5017977,7.584272672,7.568992201,7.709061106,7.472279229,6.151415689
296.0043564,7.370559544,7.402691621,7.491713215,7.203551689,5.898087829
296.5033456,7.144590436,7.149089743,7.213401495,6.981592212,5.887927333
297.0040274,6.826646109,6.855633722,7.007664726,6.766023162,5.584142853
297.5064106,6.576612264,6.619286615,6.722986813,6.534159717,5.514826873
297.9891316,6.403988721,6.398441517,6.60300562,6.462340835,5.396807659
298.5002314,6.166081581,6.157694008,6.321962232,6.143466204,5.14923296
298.9942679,5.86994741,5.920098426,6.016188151,5.833250988,4.969472193
299.4899495,5.529073667,5.484965687,5.61371866,5.460189266,4.625422665
300.0035301,5.075616785,5.032619425,5.120909093,5.006069507,4.202521225
301.0087546,4.50666044,4.43932496,4.568477977,4.441993354,3.758321125
301.9905824,4.198403237,4.159715579,4.246681016,4.102960796,3.502911152
303.0092483,3.937083891,3.926543184,3.999326081,3.908585294,3.327066061
303.9931261,3.695867141,3.667808258,3.775009581,3.67725096,3.17639267
305.0170304,3.566294656,3.55393884,3.635797554,3.548391476,3.040027446
