Date: 11/15/2024

From File
Beamline Energy
Y:\Collins\2024Nov\Macros\carbon_nexafs.txt
: -3.00000000
: 3.00000000
: 0.50000000
Delay After Move (s): 0.10000000
Count Time (s): 5.00000000
Scan Number: 1
Bi-directional: No
Stay at End: 0
Description Length: 7
pol=100
Time of Day	Time (s)	Beamline Energy	EPU Polarization	Coolstage Temp C	CCD Temperature	Beam Current	TEY signal	Izero	Photodiode	AI 0	AI 3 Izero	AI 5	AI 6 BeamStop	AI 7	Temperature Controller	PZT Shutter	Pause Trigger	LV Memory	Time Stamp Error	Time Stamp Transmit Time	Time Stamp Server Time	Camera Temp Setpoint
21:43:11	272.30400000	284.69764919	100.00000000	0.00000000	-40.00000000	500.60214233	0.02354826	-0.12862728	-1.77880255E-6	0.04701072	0.12558163	0.12558361	-0.90301774	0.00016007	0.00000000	8.50000000	0.00000000	1212276.00000000	-0.00577021	0.00010000	0.00820961	-40.00000000
21:43:17	278.73900000	284.80054568	100.00000000	0.00000000	-40.00000000	500.41926575	0.02271711	-0.12935184	3.03411710E-6	0.03867730	0.12613854	0.12629016	-0.89876698	0.00014459	0.00000000	8.50000000	0.00000000	1212264.00000000	-0.00577021	0.00010000	0.00820961	-40.00000000
21:43:23	284.66000000	284.89861151	100.00000000	0.00000000	-40.00000000	500.25048828	0.02335474	-0.13279617	-2.52835562E-6	0.03342080	0.12786445	0.12784492	-0.90852104	0.00015050	0.00000000	8.50000000	0.00000000	1212280.00000000	-0.00577021	0.00010000	0.00820961	-40.00000000
21:43:30	290.92600000	284.99919909	100.00000000	0.00000000	-40.00000000	500.07325745	0.02614590	-0.13283102	-2.98203246E-6	0.02090336	0.13100133	0.13096954	-0.90480286	0.00016408	0.00000000	8.50000000	0.00000000	1212272.00000000	-0.00577021	0.00010000	0.00820961	-40.00000000
21:43:36	297.03900000	285.10476971	100.00000000	0.00000000	-40.00000000	500.84117126	0.03135691	-0.13308350	-2.71574385E-6	0.03379653	0.13530840	0.13535995	-0.90329060	0.00014377	0.00000000	8.50000000	0.00000000	1212276.00000000	-0.00577021	0.00010000	0.00820961	-40.00000000
21:43:42	303.07400000	285.19812979	100.00000000	0.00000000	-40.00000000	501.08773804	0.03705590	-0.13194306	-9.90882332E-6	0.04009478	0.13939705	0.13951721	-0.89885246	0.00014337	0.00000000	8.50000000	0.00000000	1212264.00000000	-0.00577021	0.00010000	0.00820961	-40.00000000
21:43:48	309.45800000	285.30138841	100.00000000	0.00000000	-40.00000000	500.90046692	0.04162373	-0.13651336	-2.10502064E-5	0.03695948	0.14411917	0.14443184	-0.90704494	0.00014064	0.00000000	8.50000000	0.00000000	1212740.00000000	-0.00577021	0.00010000	0.00820961	-40.00000000
21:43:54	315.68600000	285.39979948	100.00000000	0.00000000	-40.00000000	500.72264099	0.04281307	-0.13302564	-1.94130247E-5	0.03863266	0.14868934	0.14911093	-0.90181451	0.00013939	0.00000000	8.50000000	0.00000000	1212284.00000000	-0.00577021	0.00010000	0.00820961	-40.00000000
21:44:01	322.00800000	285.50074131	100.00000000	0.00000000	-40.00000000	500.53981018	0.04220499	-0.13183162	-8.87325657E-6	0.04520305	0.15302093	0.15342362	-0.90675893	0.00014949	0.00000000	8.50000000	0.00000000	1212292.00000000	-0.00577021	0.00010000	0.00820961	-40.00000000
21:44:07	328.54500000	285.60421919	100.00000000	0.00000000	-40.00000000	500.35105896	0.03972312	-0.13189013	-1.95280877E-5	0.04196787	0.15710974	0.15750030	-0.90649593	0.00013972	0.00000000	8.50000000	0.00000000	1212292.00000000	-0.00577021	0.00010000	0.00820961	-40.00000000
21:44:13	334.65000000	285.69544044	100.00000000	0.00000000	-40.00000000	500.17398071	0.03643465	-0.13683620	-8.49848001E-6	0.03685382	0.15969823	0.16006824	-0.90631840	0.00014751	0.00000000	8.50000000	0.00000000	1212280.00000000	-0.00577021	0.00010000	0.00820961	-40.00000000
21:44:20	340.99800000	285.80152755	100.00000000	0.00000000	-40.00000000	500.24357605	0.03249637	-0.13344184	-4.75071470E-6	0.04454154	0.16271449	0.16286112	-0.90355689	0.00013798	0.00000000	8.50000000	0.00000000	1212296.00000000	-0.00577021	0.00010000	0.00820961	-40.00000000
21:44:26	347.02100000	285.89534455	100.00000000	0.00000000	-40.00000000	501.08213806	0.03034819	-0.13244375	1.08230181E-7	0.03453806	0.16492130	0.16518016	-0.90534201	0.00012910	0.00000000	8.50000000	0.00000000	1212296.00000000	-0.00577021	0.00010000	0.00820961	-40.00000000
21:44:32	353.04200000	285.99910870	100.00000000	0.00000000	-40.00000000	500.91049194	0.02852969	-0.13099198	-1.15098423E-5	0.04122144	0.16647035	0.16653551	-0.90447411	0.00014061	0.00000000	8.50000000	0.00000000	1212284.00000000	-0.00577021	0.00010000	0.00820961	-40.00000000
21:44:38	359.26100000	286.10294820	100.00000000	0.00000000	-40.00000000	500.72778320	0.02757253	-0.13153048	-1.82492449E-5	0.04136432	0.16725258	0.16744710	-0.90567076	0.00014837	0.00000000	8.50000000	0.00000000	1213172.00000000	-0.00577021	0.00010000	0.00820961	-40.00000000
21:44:44	365.34200000	286.20191307	100.00000000	0.00000000	-40.00000000	500.56024170	0.02606020	-0.13206141	-6.65747249E-6	0.04456790	0.16753152	0.16765536	-0.90213997	0.00014432	0.00000000	8.50000000	0.00000000	1212292.00000000	-0.00577021	0.00010000	0.00820961	-40.00000000
21:44:50	371.53200000	286.29846977	100.00000000	0.00000000	-40.00000000	500.38172913	0.02520907	-0.13212125	-5.27671684E-6	0.03907805	0.16767558	0.16776918	-0.89895437	0.00014695	0.00000000	8.50000000	0.00000000	1212300.00000000	-0.00577021	0.00010000	0.00820961	-40.00000000
21:44:57	377.92000000	286.39756997	100.00000000	0.00000000	-40.00000000	500.19804382	0.02397207	-0.13296022	1.66707229E-5	0.04533596	0.16739065	0.16730768	-0.90817914	0.00015544	0.00000000	8.50000000	0.00000000	1212276.00000000	-0.00577021	0.00010000	0.00820961	-40.00000000
21:45:03	384.21500000	286.49921889	100.00000000	0.00000000	-40.00000000	500.02001953	0.02373216	-0.13152982	-1.21895731E-7	0.03848820	0.16725797	0.16725389	-0.90184081	0.00014199	0.00000000	8.50000000	0.00000000	1212296.00000000	-0.00577021	0.00010000	0.00820961	-40.00000000
21:45:09	390.34800000	286.60093999	100.00000000	0.00000000	-40.00000000	501.16593933	0.02401701	-0.13101927	6.81475761E-6	0.03723320	0.16747843	0.16756640	-0.90339580	0.00014367	0.00000000	8.50000000	0.00000000	1212304.00000000	-0.00577021	0.00010000	0.00820961	-40.00000000
21:45:15	396.52100000	286.70024972	100.00000000	0.00000000	-40.00000000	500.99339294	0.02502872	-0.13349543	1.06841610E-5	0.03967940	0.16684907	0.16699809	-0.90047320	0.00012516	0.00000000	8.50000000	0.00000000	1212304.00000000	-0.00577021	0.00010000	0.00820961	-40.00000000
21:45:21	402.72300000	286.79962829	100.00000000	0.00000000	-40.00000000	500.81343079	0.02691861	-0.12991072	-7.65687660E-6	0.03325724	0.16631590	0.16650605	-0.90178492	0.00012325	0.00000000	8.50000000	0.00000000	1212320.00000000	-0.00577021	0.00010000	0.00820961	-40.00000000
21:45:27	408.68300000	286.89907577	100.00000000	0.00000000	-40.00000000	500.63961792	0.02876353	-0.13338661	9.17190474E-6	0.03818526	0.16551059	0.16569453	-0.90455958	0.00013502	0.00000000	8.50000000	0.00000000	1212316.00000000	-0.00577021	0.00010000	0.00820961	-40.00000000
21:45:33	414.79100000	286.99859223	100.00000000	0.00000000	-40.00000000	500.46018982	0.03238833	-0.13535057	1.09701746E-5	0.02765904	0.16444590	0.16468812	-0.90340238	0.00013952	0.00000000	8.50000000	0.00000000	1212296.00000000	-0.00577021	0.00010000	0.00820961	-40.00000000
21:45:40	421.53800000	287.10066828	100.00000000	0.00000000	-40.00000000	500.26956596	0.03592910	-0.13376007	-9.83224324E-7	0.04076665	0.16357497	0.16369999	-0.90272515	0.00014028	0.00000000	8.50000000	0.00000000	1212320.00000000	-0.00577021	0.00010000	0.00820961	-40.00000000
21:45:46	427.59600000	287.19783241	100.00000000	0.00000000	-40.00000000	500.09286499	0.03776479	-0.13451291	8.59658992E-6	0.03764026	0.16265611	0.16294597	-0.90695947	0.00013811	0.00000000	8.50000000	0.00000000	1212488.00000000	-0.00577021	0.00010000	0.00820961	-40.00000000
