energy,os,wid,mu_x,mu_y,mu_z,theta,sym,xx,yy,zz,xy,xz,yz,atom,mo,cluster
289.61157,0.00031900001,0.37056026,0.70710564,0.70710564,0.0017772395,89.89817,1,0.00015961222,0.00015961222,1.0082993e-09,0,0,0,3,181,11,1
289.65897,9.1000002e-05,0.3903935,0.70707005,0.70707005,0.010191052,89.416084,1,4.546946e-05,4.546946e-05,9.4456736e-09,0,0,0,4,183,11,1
289.69897,4.3e-05,0.21231422,0.30133155,0.30133155,0.90465385,25.223297,1,3.9020861e-06,3.9020861e-06,3.5170015e-05,0,0,0,1,139,11,1
289.71808,0.00023400001,0.38800758,0.70670128,0.70670128,0.033862732,88.059441,1,0.00011688315,0.00011688315,2.6836398e-07,0,0,0,3,183,11,1
289.73846,9.6000003e-05,0.40339372,0.24250518,0.24250518,0.93935215,20.056957,1,5.621333e-06,5.621333e-06,8.4343992e-05,0,0,0,4,184,11,1
289.73987,9.3000002e-05,0.21231422,0.70162153,0.70162153,0.12431566,82.858765,1,4.5718392e-05,4.5718392e-05,1.4352805e-06,0,0,0,1,140,11,1
289.74814,0.00073099998,0.40497991,0.0040248833,0.0040248833,0.99998379,0.32625917,1,1.1842181e-08,1.1842181e-08,0.00073098938,0,0,0,4,185,11,1
289.75946,5.3e-05,0.21231422,0.70662445,0.70662445,0.03692947,87.883614,1,2.6364321e-05,2.6364321e-05,7.2008781e-08,0,0,0,1,141,11,1
289.83069,0.00072200003,0.40645424,4.4101289e-05,4.4101289e-05,1,0,1,1.4032853e-12,1.4032853e-12,0.00072151172,0,0,0,3,185,11,1
289.86166,7.0000002e-05,0.21231422,0.0018655328,0.0018655328,0.99999654,0.15065786,1,2.4235977e-10,2.4235977e-10,6.9638874e-05,0,0,0,1,142,11,1
289.88766,9.9999997e-05,0.42779163,0.70586878,0.70586878,0.059148978,86.609032,1,4.9633334e-05,4.9633334e-05,3.4851379e-07,0,0,0,4,188,11,1
289.90247,6.0999999e-05,0.21231422,0.0017974409,0.0017974409,0.99999678,0.14536996,1,1.9596556e-10,1.9596556e-10,6.0655144e-05,0,0,0,1,143,11,1
289.91052,0.00026100001,0.38458833,0.69781613,0.69781613,0.16157155,80.701874,1,0.00012718519,0.00012718519,6.8184295e-06,0,0,0,2,182,11,1
