sam_th,energy,polarization,scan,q,R,R_err
3.5,286.5,100.0,5.0,0.01772733412939827,0.053983865865480034,0.055712454194568835
3.5,287.7,100.0,6.0,0.01780158474355282,0.0573163276564909,0.05866615103355717
3.5,288.6,100.0,7.0,0.01785727270416873,0.13482473353042113,0.13630348873097764
3.608,284.0,100.0,1.0,0.018114180801327838,0.1178018832014649,0.12052682326185984
3.608,284.2,100.0,8.0,0.01812693726668089,0.09017880887238178,0.09319114538649266
3.608,284.6,100.0,9.0,0.018152450197386986,0.10771300182357929,0.1120098387964109
3.708,285.0,100.0,2.0,0.018681092866136634,0.07635356532249005,0.07746608885953105
3.708,285.5,100.0,3.0,0.018713866713270206,0.09483204789836969,0.09573775168602129
3.708,286.0,100.0,4.0,0.01874664056040378,0.002062417198346662,0.0020837115853071086
3.708,286.5,100.0,5.0,0.018779414407537352,0.04944296213383878,0.051026148627245964
3.708,287.7,100.0,6.0,0.01885807164065793,0.04618013413292221,0.04726769551651716
3.708,288.6,100.0,7.0,0.01891706456549836,0.1279736059805897,0.1293772181400387
3.75,250.0,100.0,0.0,0.01657227234661711,0.7408406694670272,0.7424224128611263
3.826,284.0,100.0,1.0,0.019207082075771386,0.06589823002072813,0.06742255817247342
3.826,284.2,100.0,8.0,0.019220608189909255,0.0601684869082337,0.06217835743523269
3.826,284.6,100.0,9.0,0.019247660418184993,0.07890941248429065,0.08205723006737371
3.916,285.0,100.0,2.0,0.01972741867331255,0.06870089918827078,0.06970191815889792
3.916,285.5,100.0,3.0,0.01976202817975696,0.07520504426108912,0.07592329821581517
3.916,286.0,100.0,4.0,0.01979663768620137,0.0017446858005270938,0.001762699621683455
3.916,286.5,100.0,5.0,0.019831247192645778,0.03768856212278122,0.03889536729653289
3.916,287.7,100.0,6.0,0.019914310008112356,0.044426684638529966,0.04547295155657191
3.916,288.6,100.0,7.0,0.019976607119712293,0.10840924119088864,0.10959827175673242
4.0,250.0,100.0,0.0,0.017675351232193045,0.6005444798907298,0.6018266817231606
4.044,284.0,100.0,1.0,0.02029970529657117,0.03476679627513553,0.03557100613466457
4.044,284.2,100.0,8.0,0.020314000863681434,0.03751786060390252,0.038771108709989115
4.044,284.6,100.0,9.0,0.02034259199790196,0.06299270252681559,0.0655055781189296
4.124,285.0,100.0,2.0,0.020773484493753602,0.058624888778215416,0.05947909340306433
4.124,285.5,100.0,3.0,0.020809929203391767,0.059875990957342695,0.0604478431212607
4.124,286.0,100.0,4.0,0.02084637391302993,0.0037333439243799273,0.00377189057257793
4.124,286.5,100.0,5.0,0.020882818622668095,0.02589347861860764,0.026722599768455795
4.124,287.7,100.0,6.0,0.02097028592579969,0.03876196923113625,0.03967482974311614
4.124,288.6,100.0,7.0,0.021035886403148386,0.0892958079158059,0.09027520269661293
4.25,250.0,100.0,0.0,0.018778093604559988,0.5300904659887176,0.5312222438829519
4.26,284.0,100.0,1.0,0.021382014659418636,0.02029258467477289,0.020761983596135444
4.26,284.2,100.0,8.0,0.021397072416221043,0.030992936891781647,0.032028226186972604
4.26,284.6,100.0,9.0,0.021427187929825862,0.060018418845041215,0.06241264569582249
4.334,285.0,100.0,2.0,0.021829330860484882,0.051874144009814854,0.052629985677862985
4.334,285.5,100.0,3.0,0.021867627932169943,0.06582769807883286,0.06645639266893894
4.334,286.0,100.0,4.0,0.021905925003855006,0.0019687999114891106,0.0019891277031679963
4.334,286.5,100.0,5.0,0.021944222075540067,0.023790454974456764,0.024552236335484767
4.334,287.7,100.0,6.0,0.022036135047584213,0.04004663937090526,0.040989754399484185
4.334,288.6,100.0,7.0,0.022105069776617324,0.07944352272246427,0.08031485782026268
4.478,284.0,100.0,1.0,0.022474037237709053,0.030961096167143,0.031677274287278005
4.478,284.2,100.0,8.0,0.02248986402449617,0.040956111369035014,0.04232421094027165
4.478,284.6,100.0,9.0,0.022521517598070414,0.060664782701182335,0.06308479399829738
4.5,250.0,100.0,0.0,0.01988047846909274,0.3886014725280894,0.3894311621461698
4.542,285.0,100.0,2.0,0.022874832521064713,0.047501191933118136,0.048193316706072645
4.542,285.5,100.0,3.0,0.02291496380618939,0.05356082080553252,0.054072359250060126
4.542,286.0,100.0,4.0,0.022955095091314066,0.0035149035883789742,0.003551194847586668
4.542,286.5,100.0,5.0,0.02299522637643874,0.030324849868782696,0.03129586557364475
4.542,287.7,100.0,6.0,0.02309154146073796,0.03410280343175115,0.034905938649547344
4.542,288.6,100.0,7.0,0.023163777773962373,0.06780266883248524,0.06854632725866731
4.696,284.0,100.0,1.0,0.02356573446788467,0.047875277512511326,0.7161049838029562
4.696,284.2,100.0,8.0,0.02358233005553811,0.059712699443740046,0.6219450507690151
4.696,284.6,100.0,9.0,0.023615521230844993,0.059588839013445284,0.6323922182117718
4.75,250.0,100.0,0.0,0.020982484837972534,0.22395290297732096,0.7435249480016818
4.75,285.0,100.0,2.0,0.023920032715288687,0.03412805779962494,0.665206108347159
4.75,285.5,100.0,3.0,0.023961997684964636,0.04550227056381767,0.48528975402097174
4.75,286.0,100.0,4.0,0.02400396265464058,0.004620913993450569,0.05385787773623337
4.75,286.5,100.0,5.0,0.024045927624316524,0.04035085948525605,0.3231871393558214
4.75,287.7,100.0,6.0,0.024146643551538793,0.02953797516745497,0.368392563778285
4.75,288.6,100.0,7.0,0.024222180496955497,0.061727776680118245,0.8572830526055905
4.912,284.0,100.0,1.0,0.024647079702994103,0.06978723300767348,0.648893393433757
4.912,284.2,100.0,8.0,0.024664436801376494,0.07082674732044307,0.46704755593453234
4.912,284.6,100.0,9.0,0.024699150998141278,0.05195592887113442,0.34481864311788374
4.958,285.0,100.0,2.0,0.02496491766851198,0.025865585632103626,0.3127990271017563
4.958,285.5,100.0,3.0,0.02500871576968481,0.03803075789475688,0.25631967835700525
4.958,286.0,100.0,4.0,0.025052513870857638,0.011841579569311991,0.09196706139993013
4.958,286.5,100.0,5.0,0.025096311972030463,0.047129122318240506,0.251610361972631
4.958,287.7,100.0,6.0,0.02520142741484525,0.02580533587875883,0.19931547360885812
4.958,288.6,100.0,7.0,0.025280263996956345,0.051969124815835654,0.4505523695798281
5.0,250.0,100.0,0.0,0.022084091730586616,0.09851909110493313,0.32584132287878026
5.13,284.0,100.0,1.0,0.025738082176194284,0.07669548087678754,0.7186067867743925
5.13,284.2,100.0,8.0,0.02575620758617752,0.0745177343503823,0.5051721379146273
5.13,284.6,100.0,9.0,0.025792458406143994,0.03771692681040735,0.25716105238965487
5.166,285.0,100.0,2.0,0.02600947361024429,0.017354659509534798,0.24817154907934355
5.166,285.5,100.0,3.0,0.02605510426570086,0.032212556501162004,0.2392778723689148
5.166,286.0,100.0,4.0,0.026100734921157432,0.024088806548214832,0.17915906984095842
5.166,286.5,100.0,5.0,0.026146365576613997,0.046591972801731746,0.22711626037195795
5.166,287.7,100.0,6.0,0.026255879149709765,0.020083843418540692,0.1525752130519983
5.166,288.6,100.0,7.0,0.02633801432953159,0.04677370782405857,0.4121265083174314
5.25,250.0,100.0,0.0,0.023185278173927678,0.03775760948749508,0.2127189673860824
5.348,284.0,100.0,1.0,0.02682871204893885,0.07291324245151556,0.6788347696006158
5.348,284.2,100.0,8.0,0.026847605508128244,0.0597959987755519,0.3980843942142583
5.348,284.6,100.0,9.0,0.026885392426507036,0.024864130607034914,0.1700850274778251
5.376,285.0,100.0,2.0,0.027063725576959446,0.01704616115250674,0.1894457650954478
5.376,285.5,100.0,3.0,0.027111205797269902,0.03666275401853303,0.2480476027010986
5.376,286.0,100.0,4.0,0.02715868601758036,0.03500441492810942,0.27896512874544827
5.376,286.5,100.0,5.0,0.02720616623789081,0.04067608388452704,0.2074909428117668
5.376,287.7,100.0,6.0,0.027320118766635905,0.01253473431676868,0.10174183744363079
5.376,288.6,100.0,7.0,0.027405583163194726,0.03953700211112788,0.332646787106032
5.5,250.0,100.0,0.0,0.024286023202993164,0.025823906413503163,0.1454868245293581
5.566,284.0,100.0,1.0,0.027918953532592706,0.05218215265598742,0.48080708930334737
5.566,284.2,100.0,8.0,0.027938614767474813,0.04391605952898851,0.29206332645874333
5.566,284.6,100.0,9.0,0.027977937237239032,0.01196834802497956,0.08091247748972115
5.584,285.0,100.0,2.0,0.028107578706719375,0.011492141039548388,0.1254421936471931
5.584,285.5,100.0,3.0,0.02815689024831011,0.029173884587786966,0.20690279833663475
5.584,286.0,100.0,4.0,0.028206201789900846,0.03727618322667958,0.2629675548618285
5.584,286.5,100.0,5.0,0.02825551333149158,0.03000168163546343,0.15963475208550454
5.584,287.7,100.0,6.0,0.028373861031309348,0.007317466806770905,0.058878590114530276
5.584,288.6,100.0,7.0,0.028462621806172674,0.031047350153743825,0.2717297009324614
5.75,250.0,100.0,0.0,0.025386305861184417,0.015826734222376657,0.08916471690277246
5.782,284.0,100.0,1.0,0.028998794221280013,0.03597544068610185,0.3567282103102733
5.782,284.2,100.0,8.0,0.029019215907351337,0.024681904349224463,0.1653841459721022
5.782,284.6,100.0,9.0,0.02906005927949399,0.0054886435265414524,0.03708630770491324
5.792,285.0,100.0,2.0,0.0291510614080044,0.013867732657162204,0.15239495765081948
5.792,285.5,100.0,3.0,0.0292022036210009,0.029650877172425736,0.19667909074749365
5.792,286.0,100.0,4.0,0.0292533458339974,0.03307585587429268,0.2597789315624417
5.792,286.5,100.0,5.0,0.0293044880469939,0.01873484307701026,0.09374064503016016
5.792,287.7,100.0,6.0,0.029427229358185494,0.0036869517486798347,0.02912613054996857
5.792,288.6,100.0,7.0,0.029519285341579195,0.02663269930912565,0.22622433300410505
6.0,250.0,100.0,0.0,0.026486105200705646,0.004143646900691637,0.023344494047473706
6.0,284.0,100.0,1.0,0.030088215508001614,0.018152770922165298,0.18669504025617045
6.0,284.2,100.0,8.0,0.030109404392162177,0.010527402807963368,0.07380745422092143
6.0,284.6,100.0,9.0,0.030151782160483313,0.0013787444663351158,0.014904100933588673
6.0,285.0,100.0,2.0,0.030194159928804438,0.013818597944196081,0.11732216512278099
6.0,285.5,100.0,3.0,0.03024713213920585,0.022169864457949065,0.15474767092697883
6.0,286.0,100.0,4.0,0.030300104349607265,0.0214347423409387,0.15324738540221158
6.0,286.5,100.0,5.0,0.03035307656000867,0.009094834843754451,0.0484310786594004
6.0,287.7,100.0,6.0,0.03048020986497206,0.003235649060131145,0.019764160016050095
6.0,288.6,100.0,7.0,0.030575559843694602,0.020837681433602793,0.18834054435709444
6.222,284.0,100.0,1.0,0.031197178439699023,0.007073266769973856,0.12531946140145814
6.222,284.2,100.0,8.0,0.031219148283670645,0.0038160725127323455,0.04706230164378948
6.222,284.6,100.0,9.0,0.03126308797161389,0.0012355570337517416,0.015322880832982206
6.222,285.0,100.0,2.0,0.03130702765955712,0.00804333799540938,0.18395538724285723
