{1=sample1,2=KM3245432}
CCD
Scan Type: From File
Y:\Collins\2024Nov\XRR\znpc\.macro\2024 11 15\znpc.txt
Delay After Move (s): 0.00000000
Stay at End: 0
Curvature: 0.0
Clip to ROI: No
ROI: 1309 526 2539 1627
Background ROI: None
Data File Path: C:\Beamline Controls\BCS Setup Data\241115\CCD Scan 85249
Time	Frame #	Sample X	Sample Y	Sample Z	Sample Theta	CCD Theta	Higher Order Suppressor	Horizontal Exit Slit Size	Beamline Energy	EPU Polarization	Coolstage Temp C	CCD Temperature	Beam Current	TEY signal	Izero	Photodiode	AI 0	AI 3 Izero	AI 5	AI 6 BeamStop	AI 7	Temperature Controller	PZT Shutter	Pause Trigger	LV Memory	Time Stamp Error	Time Stamp Transmit Time	Time Stamp Server Time	Camera Temp Setpoint	Total Flux	Counts	Background	Filename
23:49:34	123.00000000	2.37000000	8.98350000	-0.97200000	24.16600000	48.33300000	5.25002175	2999.99218750	250.00027353	100.00000000	0.00000000	-40.00000000	500.45822144	0.01162276	-0.13349411	-0.00029066	0.11516206	0.08189643	0.04427741	-0.88898992	0.00006786	0.00000000	0.00000000	0.00000000	1011564.00000000	-0.00539207	0.00010000	0.01039635	-40.00000000	0.00000000	45773933.00000000	0.00000000	znpc_85249-00123
23:49:40	124.00000000	2.37000000	8.98150000	-0.97100000	24.43800000	48.87450000	5.25002175	2999.99218750	250.00027353	100.00000000	0.00000000	-40.00000000	500.31555176	0.01079118	-0.13106135	-0.00015686	0.01951021	0.08145262	0.04055430	-0.93468636	0.00010402	0.00000000	0.00000000	0.00000000	1011540.00000000	-0.00539207	0.00010000	0.01039635	-40.00000000	0.00000000	45635784.00000000	0.00000000	znpc_85249-00124
23:49:45	125.00000000	2.37000000	8.97950000	-0.97000000	24.70800000	49.41600000	5.25002175	2999.99218750	250.00027353	100.00000000	0.00000000	-40.00000000	500.13702393	0.01161531	-0.15313700	-0.00018382	-0.00994755	0.08178301	0.04275694	-1.17253795	0.00005799	0.00000000	0.00000000	0.00000000	1011552.00000000	-0.00539207	0.00010000	0.01039635	-40.00000000	0.00000000	45518538.00000000	0.00000000	znpc_85249-00125
23:49:50	126.00000000	2.37000000	8.97700000	-0.96900000	24.98000000	49.95800000	5.25002175	2999.99218750	250.00027353	100.00000000	0.00000000	-40.00000000	499.98023987	0.01140857	-0.14937280	-0.00022458	0.03141430	0.08107126	0.04777204	-841.67792479	0.00008758	0.00000000	4.50750919	0.00000000	1011524.00000000	-0.00539207	0.00010000	0.01039635	-40.00000000	0.00000000	45659084.00000000	0.00000000	znpc_85249-00126
23:49:56	127.00000000	2.37000000	8.97500000	-0.96800000	25.25000000	50.49950000	5.25002175	2999.99218750	250.00027353	100.00000000	0.00000000	-40.00000000	501.42028809	0.01090976	-0.15548758	-0.00021965	0.02290293	0.08217094	0.04327636	-0.89375681	0.00006457	0.00000000	0.00000000	0.00000000	1011604.00000000	-0.00539207	0.00010000	0.01039635	-40.00000000	0.00000000	45614427.00000000	0.00000000	znpc_85249-00127
23:50:01	128.00000000	2.37000000	8.97300000	-0.96700000	25.52000000	51.04100000	5.25002175	2999.99218750	250.00027353	100.00000000	0.00000000	-40.00000000	501.22764587	0.01077874	-0.13469405	-0.00015949	0.04478461	0.08144275	0.04228682	-1088.85452119	0.00003991	0.00000000	0.00000000	0.00000000	1011612.00000000	-0.00539207	0.00010000	0.01039635	-40.00000000	0.00000000	45557114.00000000	0.00000000	znpc_85249-00128
23:50:07	129.00000000	2.37000000	8.97050000	-0.96600000	25.79200000	51.58300000	5.25002175	2999.99218750	250.00027353	100.00000000	0.00000000	-40.00000000	501.07849121	0.01099632	-0.14338953	-0.00013730	0.10014470	0.08178137	0.04282926	-1088.85452119	0.00006293	0.00000000	4.30321507	0.00000000	1011656.00000000	-0.00539207	0.00010000	0.01039635	-40.00000000	0.00000000	45513492.00000000	0.00000000	znpc_85249-00129
23:50:12	130.00000000	2.37000000	8.96850000	-0.96500000	26.06200000	52.12450000	5.25002175	2999.99218750	250.00027353	100.00000000	0.00000000	-40.00000000	500.91789246	0.01102011	-0.11434435	-0.00007911	0.00896880	0.08161042	0.04388949	-0.98958783	0.00000375	0.00000000	4.58917271	0.00000000	1011636.00000000	-0.00539207	0.00010000	0.01039635	-40.00000000	0.00000000	45388810.00000000	0.00000000	znpc_85249-00130
23:50:18	131.00000000	2.37000000	8.96650000	-0.96400000	26.33400000	52.66600000	5.25002175	2999.99218750	250.00027353	100.00000000	0.00000000	-40.00000000	500.75767517	0.01075825	-0.14777836	-0.00011626	0.10117698	0.08198355	0.04576666	-0.90476998	0.00002183	0.00000000	0.00000000	0.00000000	1011592.00000000	-0.00539207	0.00010000	0.01039635	-40.00000000	0.00000000	45296890.00000000	0.00000000	znpc_85249-00131
23:50:23	132.00000000	2.37000000	8.96400000	-0.96250000	26.60400000	53.20800000	5.25002175	2999.99218750	250.00027353	100.00000000	0.00000000	-40.00000000	500.61157227	0.01080555	-0.12082075	-0.00023001	0.00432847	0.08182904	0.04228682	-0.89392119	0.00004813	0.00000000	0.00000000	0.00000000	1011648.00000000	-0.00539207	0.00010000	0.01039635	-40.00000000	0.00000000	45299401.00000000	0.00000000	znpc_85249-00132
23:50:28	133.00000000	2.37000000	8.96200000	-0.96150000	26.87600000	53.74950000	5.25002175	2999.99218750	250.00027353	100.00000000	0.00000000	-40.00000000	500.45021057	0.01094022	-0.13459543	-0.00010705	0.09420909	0.08184547	0.04435960	-1088.85452119	0.00004156	0.00000000	0.00000000	0.00000000	1011592.00000000	-0.00539207	0.00010000	0.01039635	-40.00000000	0.00000000	45196675.00000000	0.00000000	znpc_85249-00133
23:50:34	134.00000000	2.37000000	8.96000000	-0.96050000	27.14600000	54.29100000	5.25002175	2999.99218750	249.99838700	100.00000000	0.00000000	-40.00000000	500.29876709	0.01168113	-0.11432791	-0.00017264	0.05035366	0.08157590	0.04110989	-0.97956091	0.00008758	0.00000000	0.00000000	0.00000000	1011584.00000000	-0.00539207	0.00010000	0.01039635	-40.00000000	0.00000000	45235976.00000000	0.00000000	znpc_85249-00134
23:50:39	135.00000000	2.37000000	8.95750000	-0.95950000	27.41600000	54.83300000	5.25002175	2999.99218750	249.99838700	100.00000000	0.00000000	-40.00000000	500.12786865	0.01134279	-0.13104491	-0.00008782	0.10525678	0.08190958	0.04445823	-647.18138090	0.00011388	0.00000000	0.00000000	0.00000000	1011668.00000000	-0.00539207	0.00010000	0.01039635	-40.00000000	0.00000000	45178053.00000000	0.00000000	znpc_85249-00135
23:50:44	136.00000000	2.37000000	8.95550000	-0.95850000	27.68800000	55.37450000	5.25002175	2999.99218750	249.99838700	100.00000000	0.00000000	-40.00000000	499.98634338	0.01142902	-0.12589996	-0.00011494	0.01988992	0.08192109	0.04412947	-1088.85452119	0.00009909	0.00000000	0.00000000	0.00000000	1011720.00000000	-0.00539207	0.00010000	0.01039635	-40.00000000	0.00000000	45117522.00000000	0.00000000	znpc_85249-00136
23:50:50	137.00000000	2.37000000	8.95350000	-0.95700000	27.95800000	55.91600000	5.25002175	2999.99218750	249.99838700	100.00000000	0.00000000	-40.00000000	500.60966492	0.01163824	-0.14437578	-0.00019385	0.00579471	0.08277584	0.04123482	-1.06388563	0.00006293	0.00000000	0.00000000	0.00000000	1011660.00000000	-0.00539207	0.00010000	0.01039635	-40.00000000	0.00000000	45087150.00000000	0.00000000	znpc_85249-00137
23:50:55	138.00000000	2.37000000	8.95150000	-0.95600000	28.23000000	56.45800000	5.25002175	2999.99218750	249.99838700	100.00000000	0.00000000	-40.00000000	500.46813965	0.01163530	-0.13023947	-0.00022425	0.03590175	0.08211176	0.04517819	-0.99698474	0.00004978	0.00000000	0.00000000	0.00000000	1011592.00000000	-0.00539207	0.00010000	0.01039635	-40.00000000	0.00000000	45064325.00000000	0.00000000	znpc_85249-00138
23:51:01	139.00000000	2.37000000	8.94900000	-0.95500000	28.50000000	56.99950000	5.25002175	2999.99218750	249.99838700	100.00000000	0.00000000	-40.00000000	500.29724121	0.01064776	-0.13324755	-0.00020272	-0.00654498	0.08209697	0.04206163	-0.94454890	0.00008101	0.00000000	0.00000000	0.00000000	1011956.00000000	-0.00539207	0.00010000	0.01039635	-40.00000000	0.00000000	45104976.00000000	0.00000000	znpc_85249-00139
